iter	Passed	Remaining
823	3312	707
824	3315	703
825	3320	699
826	3323	695
827	3326	690
828	3329	686
829	3334	682
830	3345	680
831	3348	676
832	3353	672
833	3357	668
834	3361	664
835	3364	660
836	3368	656
837	3372	651
838	3374	647
839	3378	643
840	3385	640
841	3388	635
842	3391	631
843	3394	627
844	3398	623
845	3402	619
846	3405	615
847	3408	610
848	3410	606
849	3417	603
850	3421	599
851	3425	595
852	3428	590
853	3434	587
854	3437	582
855	3440	578
856	3443	574
857	3448	570
858	3452	566
859	3454	562
860	3458	558
861	3464	554
862	3468	550
863	3471	546
864	3474	542
865	3479	538
866	3482	534
867	3485	529
868	3488	525
869	3491	521
870	3495	517
871	3499	513
872	3502	509
873	3505	505
874	3508	501
875	3514	497
876	3517	493
877	3521	489
878	3525	485
879	3532	481
880	3536	477
881	3539	473
882	3546	469
883	3549	465
884	3552	461
885	3555	457
886	3562	453
887	3565	449
888	3568	445
889	3571	441
890	3574	437
891	3579	433
892	3582	429
893	3585	425
894	3588	421
895	3592	417
896	3596	412
897	3599	408
898	3602	404
899	3604	400
900	3610	396
901	3613	392
902	3616	388
903	3618	384
904	3621	380
905	3627	376
906	3631	372
907	3636	368
908	3639	364
909	3645	360
910	3649	356
911	3654	352
912	3659	348
913	3663	344
914	3666	340
915	3670	336
916	3675	332
917	3678	328
918	3681	324
919	3685	320
920	3689	316
921	3695	312
922	3698	308
923	3703	304
924	3710	300
925	3713	296
926	3716	292
927	3720	288
928	3724	284
929	3727	280
930	3730	276
931	3733	272
932	3737	268
933	3740	264
934	3744	260
935	3747	256
936	3750	252
937	3755	248
938	3790	246
939	3796	242
940	3810	238
941	3814	234
942	3817	230
943	3833	227
944	3836	223
945	3852	219
946	3855	215
947	3871	212
948	3875	208
949	3896	205
950	3912	201
951	3927	198
952	3945	194
953	3950	190
954	3963	186
955	3978	183
956	3995	179
957	3998	175
958	4012	171
959	4026	167
960	4030	163
961	4048	159
962	4064	156
963	4080	152
964	4095	148
965	4109	144
966	4122	140
967	4141	136
968	4157	133
969	4162	128
970	4173	124
971	4191	120
972	4208	116
973	4212	112
974	4216	108
975	4225	103
976	4231	99
977	4236	95
978	4239	90
979	4247	86
980	4258	82
981	4264	78
982	4267	73
983	4271	69
984	4274	65
985	4282	60
986	4286	56
987	4291	52
988	4300	47
989	4303	43
990	4306	39
991	4313	34
992	4317	30
993	4321	26
994	4326	21
995	4331	17
996	4336	13
997	4339	8
998	4342	4
999	4347	0
